"SUMMARY";"DTSTART-DATE";"START-TIME";"DTEND-DATE";"END-TIME";"DUE";"NOTES";"ATTENDEE";"LOCATION";"PRIORITY";"URL"
"\"Vacances de la Toussaint - Zone A\"";"\"21/10/2017\"";"\"12:00 AM\"";"\"26/02/2018\"";"\"12:00 AM\"";"\"\"";"";"";"";"";""
"\"Vacances de Noël - Zone A\"";"\"23/12/2017\"";"\"12:00 AM\"";"\"23/04/2018\"";"\"12:00 AM\"";"\"\"";"";"";"";"";""
"\"Prérentrée des enseignants - Zone A\"";"\"31/08/2018\"";"\"12:00 AM\"";"\"29/04/2019\"";"\"12:00 AM\"";"\"\"";"";"";"";"";""
"\"Vacances de la Toussaint - Zone A\"";"\"20/10/2018\"";"\"12:00 AM\"";"";"\"\"";"";"";"";"";"";""
"\"Vacances de Noël - Zone A\"";"\"22/12/2018\"";"\"12:00 AM\"";"";"\"\"";"";"";"";"";"";""
"\"Vacances d'hiver - Zone A\"";"\"16/02/2019\"";"\"12:00 AM\"";"";"\"\"";"";"";"";"";"";""
"\"Vacances de printemps - Zone A\"";"\"13/04/2019\"";"\"12:00 AM\"";"";"\"\"";"";"";"";"";"";""
"\"Prérentrée des enseignants - Zone A\"";"\"01/09/2017\"";"\"12:00 AM\"";"\"06/11/2017\"";"\"12:00 AM\"";"\"\"";"";"";"";"";""
"\"Rentrée scolaire des élèves - Zone A\"";"\"04/09/2017\"";"\"12:00 AM\"";"\"08/01/2018\"";"\"12:00 AM\"";"\"\"";"";"";"";"";""
"\"Rentrée scolaire des élèves - Zone A\"";"\"03/09/2018\"";"\"12:00 AM\"";"";"\"\"";"";"";"";"";"";""
"\"Vacances de printemps - Zone A\"";"\"07/04/2018\"";"\"12:00 AM\"";"\"07/01/2019\"";"\"12:00 AM\"";"\"\"";"";"";"";"";""
"\"Vacances d'été - Zone A\"";"\"07/07/2018\"";"\"12:00 AM\"";"\"04/03/2019\"";"\"12:00 AM\"";"\"\"";"";"";"";"";""
"\"Vacances d'hiver - Zone A\"";"\"10/02/2018\"";"\"12:00 AM\"";"\"05/11/2018\"";"\"12:00 AM\"";"\"\"";"";"";"";"";""
"\"Vacances d'été - Zone A\"";"\"06/07/2019\"";"\"12:00 AM\"";"";"\"\"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";""
